objectid,joinid,permyear,county,jurisdictn,apn,address,zip,projname,hcategory,vlowdr,vlowndr,vlowtot,lowdr,lowndr,lowtot,moddr,modndr,modtot,amodtot,totalunit,tenure,mapped,mapnotes,pda,pdacycle,pdajoinid,tpa,tpacycle,hsngsite,rhnacycle,notes,ObjectId2
,657c72f4-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8531 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,89
,657c756a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8523 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,90
,657c77cc-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8526 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,91
,657c7a1a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8525 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,92
,657c7c54-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8517 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,93
,657c8212-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8534 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,94
,657c846a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8542 Bayshores Avenue,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,95
,657c86a4-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8544 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,96
,657c88d4-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37842 Spring Tide Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,97
,657c8b18-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37896 Spring Tide Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,98
,657c8d52-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8535 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,99
,657c900e-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8546 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,100
