Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3,
MOUNTAIN VIEW,2090 W EL CAMINO REAL,94040-2104,15437007,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.56,"one-story single tenant, fountain store - FAR: 0.043; Year Built: 1958; building is not well maintained/ boarded up windows",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,33,0,33,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2098 W EL CAMINO REAL,94040-2104,15437008,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.45,one-story single tenant fast food - FAR: 0.1; Year Built: 1966,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,26,0,26,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,615 S RENGSTORFF AV,94040-2105,15437009,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.60,"one-story four-unit commercial (convenience, restaurant, beauty, laundry)  - FAR: 0.207; Year Built: 1974",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,36,0,36,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2034 W EL CAMINO REAL,94040-2104,15437015,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.73,one-story single tenant mattress store - FAR: 0.221; Year Built: 1960,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2020 W EL CAMINO REAL,94040-2104,15437016,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.64,"one-story retail (restaurant, florist, vacuum store) - FAR: 0.077; Year Built: 1951",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,38,0,38,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2026 W EL CAMINO REAL,94040-2104,15437018,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.52,vacant one-story restaurant  - FAR: 0.172; Year Built: 1952; site is surrounded by a chain link fence; the building has not been well maintained (signs of graffiti)/boarded up windows ,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,31,0,31,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,30 W EL CAMINO REAL,94040,15801001,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.36,one-story single tenant tire store - FAR: 0.27; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,21,0,21,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,40 W EL CAMINO REAL,94040,15801002,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,0.20,one-story single tenant tire store - FAR: 0.27; Year Built: 1965,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,12,0,12,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,62 W EL CAMINO REAL,94040,15801003,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.55,one-story single tenant truck rental  - FAR: 0.035; Year Built: 1979,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,93,0,0,93,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,200 W EL CAMINO REAL,94040-2606,15805112,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.45,one-story single tenant fast food - FAR: 0.131; Year Built: 1969,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,17,0,17,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
